date,name,start_time,end_time
2025-01-18,Finley Hughes,14140,21562
2025-01-04,Payton Lewis,19576,23823
2025-01-03,Quinn Diaz,15671,17634
2025-01-16,Micah Lewis,16263,23338
2025-01-31,Reese Edwards,15662,18255
2025-01-19,Quinn Foster,13273,19868
2025-01-05,Jesse Hughes,13897,20042
2025-01-12,Bailey Foster,13802,15301
2025-01-26,Micah Lewis,26185,34719
2025-01-14,Hayden Garcia,12980,15570
2025-01-03,Shawn Kim,16661,21659
2025-01-18,Hayden Adams,15216,21644
2025-01-17,Hayden Garcia,17664,21739
2025-01-21,Sam Diaz,21244,26553
2025-01-28,Harper Baker,24928,28239
2025-01-25,Payton Ingram,15752,19240
2025-01-16,Skyler Campbell,22747,24529
2025-01-07,Jamie Martinez,16035,20543
2025-01-24,Micah Johnson,15255,18868
2025-01-26,Drew Lewis,,3909
2025-01-21,Skyler Edwards,16757,18684
2025-01-13,Logan Garcia,21498,26574
2025-01-26,Sam Diaz,21778,23800
2025-01-12,Skyler Campbell,12102,16356
2025-01-20,Alex Lewis,17900,19010
2025-01-07,Shawn Edwards,17343,23923
2025-01-26,Alex Diaz,12713,18849
2025-01-03,Kendall Johnson,15059,17354
2025-01-08,Micah Adams,24295,25271
2025-01-16,Harper Ingram,24714,28696
2025-01-11,Cameron Lewis,14449,18588
2025-01-18,Skyler Campbell,15454,22574
2025-01-19,Jesse Edwards,24113,26409
2025-01-31,Kendall Baker,23618,29041
2025-01-11,Taylor Brooks,18101,19850
2025-01-07,Drew Ingram,15755,23890
2025-01-15,Hayden Ingram,24149,28760
2025-01-30,Parker Garcia,81799,
2025-01-15,Bailey Foster,16187,20656
2025-01-02,Quinn Lewis,33525,40682
2025-01-22,Bailey Garcia,,6910
2025-01-07,Sam Adams,25574,28840
2025-01-11,Avery Chen,26540,27372
2025-01-22,Emerson Foster,13893,22465
2025-01-29,Cameron Ingram,14732,16002
2025-01-28,Hayden Diaz,21082,23798
2025-01-26,Reese Garcia,16320,21633
2025-01-03,Sam Foster,15362,19385
2025-01-09,Sam Diaz,16912,22531
2025-01-22,Kai Hughes,32870,40598
2025-01-03,Alex Hughes,34619,41933
2025-01-16,Dakota Adams,15107,20849
2025-01-25,Reese Baker,17222,22796
2025-01-14,Drew Foster,14071,14985
2025-01-25,Emerson Ingram,36190,37831
2025-01-23,Quinn Baker,15270,20504
2025-01-26,Micah Adams,23765,31916
2025-01-01,Bailey Campbell,14464,15443
2025-01-17,Elliot Campbell,18722,25543
2025-01-14,Alex Hughes,25503,28456
2025-01-03,Hayden Adams,22741,30926
2025-01-24,Elliot Campbell,23824,27429
2025-01-05,Jesse Foster,13728,15192
2025-01-19,Alex Campbell,13959,22269
2025-01-28,Sage Garcia,14325,20405
2025-01-14,Emerson Foster,11711,18403
2025-01-26,Hayden Campbell,23500,29728
2025-01-16,Elliot Campbell,17714,21628
2025-01-11,Logan Campbell,14423,15996
2025-01-29,Hayden Adams,,1146
2025-01-04,Jesse Kim,13003,14667
2025-01-15,Alex Hughes,20655,22304
2025-01-08,Payton Baker,,7484
2025-01-29,Cameron Garcia,15057,23318
2025-01-03,Sage Foster,36602,44453
2025-01-22,Quinn Garcia,16905,20350
2025-01-22,Reese Edwards,12672,17240
2025-01-15,Casey Nguyen,15345,16215
2025-01-14,Taylor Brooks,27575,32824
2025-01-18,Hayden Ingram,27306,29994
2025-01-15,Logan Hughes,22104,30378
2025-01-24,Alex Lewis,19854,26092
2025-01-22,Drew Diaz,28101,29545
2025-01-19,Shawn Johnson,31787,37518
2025-01-10,Alex Lewis,21774,28762
2025-01-17,Harper Diaz,31234,35857
2025-01-09,Kendall Johnson,24925,26502
2025-01-02,Reese Garcia,14911,16149
2025-01-31,Jesse Hughes,23453,27764
2025-01-19,Reese Garcia,31536,35903
2025-01-12,Finley Baker,23120,29777
2025-01-07,Reese Foster,14477,15611
2025-01-23,Micah Baker,26597,32786
2025-01-25,Jesse Hughes,15820,21284
2025-01-17,Bailey Adams,24377,25597
2025-01-13,Skyler Baker,26952,35652
2025-01-05,Sam Garcia,25443,26699
2025-01-24,Harper Ingram,20298,27502
2025-01-27,Quinn Foster,14160,17988
2025-01-28,Alex Diaz,30703,31652
2025-01-08,Reese Garcia,21740,29533
2025-01-28,Reese Edwards,13754,19382
2025-01-07,Skyler Edwards,23039,29673
2025-01-11,Skyler Foster,17418,23039
2025-01-10,Shawn Kim,20561,21832
2025-01-04,Jesse Campbell,13912,18933
2025-01-16,Cameron Baker,21612,25786
2025-01-14,Skyler Foster,19770,24008
2025-01-24,Alex Lewis,29470,35710
2025-01-09,Micah Adams,17249,21818
2025-01-12,Sam Garcia,22417,23524
2025-01-27,Bailey Garcia,13693,21624
2025-01-24,Hayden Garcia,12564,21197
2025-01-21,Quinn Foster,13921,20521
2025-01-22,Sage Garcia,15619,21801
2025-01-27,Harper Baker,12187,15510
2025-01-08,Jesse Campbell,24921,29468
2025-01-25,Rowan Edwards,14380,19067
2025-01-02,Micah Johnson,77571,
2025-01-28,Jamie Martinez,66000,71100
2025-01-05,Sam Adams,27018,29129
2025-01-13,Morgan Rivera,65040,71820
2025-01-22,Drew Diaz,33916,35856
2025-01-20,Morgan Rivera,14815,19623
2025-01-10,Alex Hughes,15246,17621
2025-01-23,Cameron Ingram,,3369
2025-01-17,Bailey Campbell,21597,27473
2025-01-17,Emerson Adams,12636,14113
2025-01-21,Cameron Adams,21524,29328
2025-01-21,Kai Kim,22911,28345
2025-01-15,Quinn Baker,16420,21229
2025-01-23,Quinn Lewis,25571,31234
2025-01-22,Drew Lewis,15534,22049
2025-01-22,Harper Diaz,16861,21148
2025-01-18,Kai Campbell,17019,20480
2025-01-07,Hayden Campbell,15124,21167
2025-01-12,Logan Diaz,20964,24407
2025-01-22,Hayden Ingram,16586,19765
2025-01-09,Parker Garcia,14966,21845
2025-01-30,Jordan Patel,19958,20917
2025-01-03,Reese Garcia,17973,23691
2025-01-16,Harper Ingram,14025,21709
2025-01-08,Sage Adams,37592,45700
2025-01-21,Drew Lewis,24660,30791
2025-01-02,Rowan Edwards,17499,26189
2025-01-30,Elliot Lewis,21343,23974
2025-01-06,Emerson Foster,12406,19897
2025-01-18,Emerson Ingram,16660,24742
2025-01-26,Harper Ingram,23920,25029
2025-01-28,Harper Garcia,15403,21426
2025-01-23,Alex Campbell,13326,17288
2025-01-08,Bailey Foster,24886,29179
2025-01-03,Jesse Hughes,27516,34190
2025-01-26,Hayden Campbell,15633,22477
2025-01-28,Shawn Kim,81023,
2025-01-03,Elliot Ingram,22803,30788
2025-01-16,Emerson Johnson,24209,31744
2025-01-14,Payton Lewis,16568,24842
2025-01-23,Elliot Kim,14525,23032
2025-01-26,Alex Lewis,16161,21925
2025-01-13,Quinn Edwards,14133,20429
2025-01-28,Skyler Foster,16394,25219
2025-01-05,Harper Lewis,14175,17929
2025-01-29,Reese Foster,16290,24162
2025-01-14,Logan Campbell,15709,22344
2025-01-11,Payton Baker,18187,26844
2025-01-24,Rowan Garcia,13860,16379
2025-01-17,Skyler Foster,24674,29874
2025-01-11,Logan Garcia,19392,27358
2025-01-21,Alex Diaz,14229,21401
2025-01-17,Finley Baker,17411,25396
2025-01-22,Elliot Adams,15085,15919
2025-01-16,Emerson Adams,11956,14910
2025-01-18,Cameron Garcia,24662,31973
2025-01-30,Emerson Kim,76105,
2025-01-09,Skyler Campbell,17062,25228
2025-01-20,Jesse Foster,39331,40783
2025-01-26,Logan Garcia,14738,23592
2025-01-25,Jamie Martinez,16354,20879
2025-01-09,Bailey Edwards,14837,21192
2025-01-31,Elliot Ingram,13508,14446
2025-01-12,Cameron Hughes,13509,19233
2025-01-13,Reese Foster,22361,24499
2025-01-06,Kai Campbell,22152,25607
2025-01-01,Micah Kim,16889,20081
2025-01-01,Finley Hughes,22055,25578
2025-01-19,Payton Lewis,16445,19551
2025-01-28,Sage Adams,30116,37284
2025-01-28,Harper Diaz,82439,
2025-01-29,Quinn Diaz,20958,24938
2025-01-21,Bailey Adams,14608,19615
2025-01-19,Alex Lewis,26496,27406
2025-01-25,Quinn Baker,19066,21313
2025-01-31,Parker Edwards,15893,22036
2025-01-31,Kai Johnson,16459,24994
2025-01-01,Skyler Edwards,16140,18887
2025-01-05,Drew Foster,14988,19242
2025-01-29,Sage Foster,22452,29616
2025-01-09,Elliot Adams,21490,27864
2025-01-03,Cameron Ingram,13444,15156
2025-01-16,Jordan Patel,15758,19642
2025-01-26,Reese Baker,15387,17858
2025-01-25,Quinn Edwards,13894,15071
2025-01-16,Shawn Johnson,16229,21774
2025-01-03,Harper Lewis,24015,31010
2025-01-13,Parker Garcia,14061,19208
2025-01-06,Micah Adams,21735,27947
2025-01-04,Bailey Johnson,19474,22108
2025-01-10,Quinn Foster,16236,22116
2025-01-06,Payton Adams,12029,13149
2025-01-02,Logan Hughes,13994,16130
2025-01-19,Hayden Adams,14423,17555
2025-01-02,Payton Ingram,18371,23314
2025-01-16,Elliot Garcia,15431,24321
2025-01-09,Cameron Adams,14317,20667
2025-01-08,Bailey Hughes,15974,23643
2025-01-07,Micah Lewis,16000,21387
2025-01-14,Cameron Ingram,13962,20316
2025-01-14,Skyler Baker,15708,23729
2025-01-03,Shawn Kim,22572,25031
2025-01-09,Alex Hughes,15572,19289
2025-01-15,Shawn Johnson,17204,23865
2025-01-10,Shawn Edwards,13310,16225
2025-01-31,Payton Lewis,21054,24316
2025-01-28,Kai Hughes,17279,25955
2025-01-31,Hayden Campbell,15512,22080
2025-01-27,Elliot Ingram,15508,22902
2025-01-10,Parker Adams,15042,22748
2025-01-16,Shawn Ingram,23700,24489
2025-01-23,Harper Lewis,21524,24628
2025-01-15,Finley Hughes,22257,24703
2025-01-30,Emerson Foster,17055,25608
2025-01-14,Finley Hughes,26299,29087
2025-01-31,Micah Kim,24492,25803
2025-01-05,Sam Foster,14410,20465
2025-01-25,Logan Hughes,18113,27094
2025-01-01,Hayden Garcia,12431,16245
2025-01-24,Payton Baker,14466,19851
2025-01-14,Kai Campbell,17261,23294
2025-01-22,Elliot Lewis,15505,19097
2025-01-04,Cameron Hughes,14217,15769
2025-01-21,Sage Lewis,17308,20941
2025-01-07,Jesse Hughes,16077,20401
2025-01-12,Shawn Ingram,14995,19690
2025-01-24,Quinn Campbell,12662,19533
2025-01-10,Skyler Baker,26362,30205
2025-01-29,Jesse Kim,14365,20738
2025-01-08,Quinn Campbell,13612,14387
2025-01-08,Sage Garcia,12580,21505
2025-01-26,Taylor Brooks,16122,18211
2025-01-10,Sam Garcia,14547,16997
2025-01-07,Micah Kim,19660,28441
2025-01-07,Bailey Adams,23636,26048
2025-01-27,Hayden Ingram,14156,20462
2025-01-22,Hayden Adams,31222,34524
2025-01-22,Morgan Rivera,24285,30802
2025-01-15,Emerson Ingram,14062,18444
2025-01-30,Sage Adams,14924,19457
2025-01-03,Micah Adams,33067,35944
2025-01-21,Elliot Ingram,18137,20852
2025-01-04,Skyler Foster,18465,22266
2025-01-28,Payton Baker,13112,22069
2025-01-16,Kai Baker,15670,16709
2025-01-05,Quinn Lewis,14725,15600
2025-01-12,Hayden Ingram,27906,29392
2025-01-11,Micah Kim,29352,31582
2025-01-12,Finley Hughes,16338,22603
2025-01-06,Bailey Edwards,13456,20672
2025-01-15,Sage Baker,21386,28110
2025-01-21,Skyler Campbell,17429,25443
2025-01-11,Micah Edwards,23012,26521
2025-01-21,Bailey Edwards,29216,31860
2025-01-03,Emerson Johnson,15251,21867
2025-01-02,Cameron Lewis,19966,27936
2025-01-20,Reese Garcia,17563,18879
2025-01-14,Hayden Foster,15629,23184
2025-01-21,Elliot Ingram,21968,26415
2025-01-08,Cameron Lewis,24021,29666
2025-01-02,Elliot Ingram,22541,26733
2025-01-20,Micah Johnson,22029,24404
2025-01-18,Sam Adams,13268,17805
2025-01-12,Shawn Lewis,13913,19615
2025-01-15,Micah Johnson,20805,28946
2025-01-10,Shawn Johnson,32251,36189
2025-01-01,Skyler Campbell,24319,31738
2025-01-22,Sam Garcia,19549,24435
2025-01-23,Skyler Campbell,24248,29762
2025-01-27,Casey Nguyen,24993,30778
2025-01-21,Carol Williams,20113,28112
2025-01-12,Quinn Diaz,11483,16403
2025-01-27,Quinn Campbell,20285,26208
2025-01-31,Harper Garcia,15985,22932
2025-01-17,Hayden Ingram,26838,30948
2025-01-01,Hayden Campbell,16252,18136
2025-01-26,Payton Baker,27648,33408
2025-01-20,Elliot Garcia,15814,24356
2025-01-25,Emerson Adams,13044,15917
2025-01-01,Logan Campbell,15728,23728
2025-01-11,Alex Hughes,20564,26039
2025-01-19,Quinn Diaz,21596,24756
2025-01-17,Sage Baker,14610,22946
2025-01-15,Jesse Hughes,14085,19526
2025-01-20,Bailey Edwards,31220,36389
2025-01-18,Elliot Ingram,17207,24411
2025-01-02,Skyler Campbell,19704,22705
2025-01-20,Payton Lewis,79660,
2025-01-21,Payton Lewis,,1245
2025-01-03,Jesse Campbell,80003,
2025-01-08,Bailey Edwards,23724,32169
2025-01-21,Elliot Campbell,24142,29861
2025-01-22,Sage Baker,17909,24101
2025-01-29,Kai Johnson,18924,25543
2025-01-15,Bailey Garcia,13130,20018
2025-01-07,Parker Edwards,17530,20632
2025-01-09,Kai Hughes,21406,22160
2025-01-06,Drew Foster,14775,18415
2025-01-12,Cameron Garcia,15162,18677
2025-01-02,Quinn Lewis,22870,31460
2025-01-04,Elliot Garcia,14330,21902
2025-01-10,Payton Baker,23208,26937
2025-01-29,Emerson Adams,16016,19587
2025-01-02,Drew Diaz,14117,16462
2025-01-27,Micah Lewis,15425,16451
2025-01-06,Rowan Edwards,15395,17189
2025-01-01,Shawn Ingram,18899,24264
2025-01-06,Quinn Foster,24657,33596
2025-01-19,Sam Adams,19372,21840
2025-01-01,Hayden Ingram,15089,20945
2025-01-20,Elliot Ingram,17764,19314
2025-01-15,Jesse Campbell,28776,32423
2025-01-22,Drew Foster,12028,16570
2025-01-28,Micah Adams,13986,22816
2025-01-15,Bailey Campbell,75662,
2025-01-14,Reese Garcia,11614,14909
2025-01-22,Hayden Garcia,20218,24086
2025-01-28,Harper Diaz,13566,14326
2025-01-20,Emerson Ingram,17124,25159
2025-01-06,Drew Diaz,15596,20609
2025-01-30,Payton Ingram,14539,20230
2025-01-28,Rowan Garcia,29107,32747
2025-01-03,Jesse Edwards,15626,16521
2025-01-26,Jordan Patel,13464,15381
2025-01-16,Emerson Foster,22978,31109
2025-01-24,Elliot Lewis,14740,16028
2025-01-22,Sam Garcia,13127,16719
2025-01-31,Micah Johnson,13076,18808
2025-01-19,Rowan Edwards,17637,20034
2025-01-07,Quinn Baker,15207,21424
2025-01-27,Rowan Ingram,17163,20309
2025-01-03,Elliot Campbell,12107,15420
2025-01-23,Jesse Hughes,21382,30353
2025-01-31,Logan Garcia,15684,18485
2025-01-19,Elliot Lewis,17415,19528
2025-01-04,Quinn Diaz,18028,22412
2025-01-29,Hayden Campbell,22024,30924
2025-01-09,Reese Garcia,13224,19335
2025-01-08,Bailey Garcia,32766,37076
2025-01-19,Jamie Martinez,14185,18511
2025-01-23,Sage Adams,15719,23563
2025-01-14,Bailey Edwards,14716,23708
2025-01-01,Kai Hughes,16656,19350
2025-01-05,Logan Campbell,17309,24790
2025-01-20,Kai Diaz,25270,32700
2025-01-31,Avery Chen,16773,22292
2025-01-08,Reese Foster,15337,20441
2025-01-03,Cameron Garcia,13849,20526
2025-01-07,Finley Edwards,24113,28464
2025-01-24,Drew Edwards,25438,31844
2025-01-14,Harper Garcia,15894,17058
2025-01-06,Kai Campbell,13068,17796
2025-01-05,Skyler Baker,26471,33441
2025-01-09,Micah Adams,26001,34142
2025-01-19,Harper Lewis,16308,18139
2025-01-28,Rowan Edwards,14802,23143
2025-01-10,Riley Thompson,15344,22405
2025-01-05,Skyler Foster,14531,17073
2025-01-18,Quinn Baker,12030,17486
2025-01-02,Sage Garcia,18759,27292
2025-01-22,Hayden Foster,31323,34483
2025-01-15,Jamie Martinez,15698,23623
2025-01-16,Shawn Edwards,15995,18186
2025-01-24,Emerson Ingram,23676,29319
2025-01-17,Skyler Foster,13993,22887
2025-01-27,Sage Lewis,16933,22846
2025-01-21,Logan Garcia,29186,37872
2025-01-13,Alex Campbell,26641,27600
2025-01-20,Riley Thompson,15131,20621
2025-01-01,Drew Foster,12902,21086
2025-01-17,Emerson Kim,14112,17836
2025-01-21,Finley Baker,23405,24624
2025-01-14,Quinn Baker,17730,22170
2025-01-26,Reese Foster,22092,23522
2025-01-08,Bailey Johnson,15768,20827
2025-01-29,Elliot Campbell,11436,16949
2025-01-20,Drew Ingram,13460,20887
2025-01-03,Micah Johnson,14266,20113
2025-01-23,Shawn Lewis,16006,23899
2025-01-23,Emerson Foster,19485,25768
2025-01-30,Hayden Campbell,32172,33820
2025-01-12,Dakota Adams,18568,25499
2025-01-28,Bailey Edwards,22529,27054
2025-01-05,Alex Hughes,20991,24226
2025-01-05,Drew Foster,22347,26364
2025-01-07,Jordan Patel,35237,38463
2025-01-15,Payton Baker,17838,22796
2025-01-03,Sage Garcia,21915,24312
2025-01-26,Logan Diaz,16472,19103
2025-01-12,Cameron Hughes,32354,33329
2025-01-08,Skyler Campbell,25023,33563
2025-01-27,Kai Baker,26539,34690
2025-01-24,Jordan Patel,15169,19735
2025-01-05,Elliot Adams,14801,20897
2025-01-06,Sam Adams,26322,27327
2025-01-24,Elliot Ingram,25243,31748
2025-01-29,Bailey Hughes,15236,19549
2025-01-14,Drew Ingram,22725,25765
2025-01-08,Sage Baker,34311,37512
2025-01-01,Micah Baker,14682,20330
2025-01-22,Payton Lewis,25239,29688
2025-01-23,Bailey Edwards,17493,24585
2025-01-18,Harper Lewis,23313,30123
2025-01-03,Payton Adams,22903,24663
2025-01-26,Shawn Johnson,13519,15447
2025-01-23,Logan Campbell,23023,29344
2025-01-23,Drew Edwards,14037,22053
2025-01-13,Sam Diaz,14066,15968
2025-01-02,Elliot Kim,15907,21768
2025-01-15,Sam Garcia,15027,16102
2025-01-09,Cameron Garcia,16684,25420
2025-01-05,Logan Hughes,14391,20166
2025-01-20,Logan Diaz,24167,31794
2025-01-14,Harper Baker,18585,22463
2025-01-13,Kai Johnson,11718,18516
2025-01-25,Logan Diaz,26716,31289
2025-01-09,Elliot Ingram,16778,20098
2025-01-09,Finley Edwards,18987,23337
2025-01-27,Elliot Campbell,14025,17707
2025-01-06,Micah Baker,17871,22172
2025-01-03,Emerson Adams,22465,29448
2025-01-25,Drew Foster,15169,22325
2025-01-14,Kendall Baker,12858,18997
2025-01-04,Reese Baker,15508,20633
2025-01-05,Hayden Adams,18101,20629
2025-01-11,Micah Baker,13358,18729
2025-01-04,Kendall Baker,16515,22495
2025-01-24,Micah Lewis,13792,16172
2025-01-08,Quinn Garcia,19887,24307
2025-01-21,Sage Baker,24265,31849
2025-01-10,Drew Ingram,16852,23771
2025-01-02,Micah Kim,29226,30474
2025-01-19,Sage Adams,19586,24283
2025-01-20,Reese Baker,13879,22074
2025-01-24,Quinn Garcia,25943,27682
2025-01-19,Cameron Adams,21707,30098
2025-01-29,Riley Thompson,27822,32793
2025-01-21,Reese Foster,16674,21261
2025-01-31,Skyler Edwards,12022,16056
2025-01-02,Logan Diaz,26301,28540
2025-01-22,Cameron Hughes,29009,32110
2025-01-15,Shawn Ingram,14712,20475
2025-01-23,Sam Diaz,17552,25640
2025-01-19,Finley Hughes,15470,19137
2025-01-10,Logan Campbell,17098,18033
2025-01-27,Jordan Patel,22967,28147
2025-01-01,Logan Diaz,19503,25861
2025-01-22,Cameron Adams,18032,23207
2025-01-26,Riley Thompson,12648,14853
2025-01-31,Quinn Campbell,23574,26394
2025-01-18,Payton Lewis,18945,20974
2025-01-28,Kai Hughes,12979,15042
2025-01-25,Quinn Foster,26062,27313
2025-01-09,Micah Johnson,30781,38324
2025-01-09,Bailey Foster,15841,20394
2025-01-13,Kai Hughes,16551,23204
2025-01-19,Finley Baker,23169,31241
2025-01-31,Parker Garcia,,5504
2025-01-26,Reese Edwards,14751,20916
2025-01-17,Cameron Lewis,17604,23941
2025-01-31,Drew Edwards,23377,27142
2025-01-28,Logan Garcia,16623,23103
2025-01-25,Cameron Lewis,33160,40955
2025-01-27,Sam Garcia,24258,30916
2025-01-12,Sam Adams,15805,20419
2025-01-01,Micah Edwards,12449,17207
2025-01-30,Harper Lewis,24982,28526
2025-01-12,Reese Baker,21675,23959
2025-01-12,Logan Campbell,19433,22510
2025-01-21,Logan Hughes,14557,22077
2025-01-28,Carol Williams,28957,36152
2025-01-03,Shawn Johnson,22117,28719
2025-01-01,Rowan Edwards,15328,21133
2025-01-24,Drew Lewis,24828,33055
2025-01-22,Payton Ingram,19269,23350
2025-01-02,Sam Foster,20239,23931
2025-01-11,Finley Hughes,25951,31048
2025-01-19,Quinn Lewis,28207,30229
2025-01-07,Finley Hughes,22458,28739
2025-01-19,Jesse Foster,14222,17886
2025-01-04,Cameron Adams,13108,21287
2025-01-19,Emerson Foster,24950,33543
2025-01-30,Finley Hughes,23119,32017
2025-01-26,Morgan Rivera,22230,23111
2025-01-23,Dakota Adams,15214,23276
2025-01-28,Cameron Adams,37421,38485
2025-01-18,Drew Lewis,22694,28128
2025-01-05,Kai Johnson,,5481
2025-01-15,Finley Hughes,15053,20977
2025-01-19,Shawn Lewis,20345,28662
2025-01-07,Rowan Edwards,30606,34938
2025-01-18,Bailey Garcia,22844,25571
2025-01-04,Hayden Ingram,25196,33324
2025-01-03,Logan Campbell,24921,29520
2025-01-06,Rowan Edwards,27878,30232
2025-01-18,Taylor Brooks,17119,23064
2025-01-19,Kai Kim,23685,25696
2025-01-02,Kendall Baker,20716,28103
2025-01-13,Micah Edwards,12736,17531
2025-01-15,Cameron Baker,19645,23280
2025-01-08,Drew Diaz,15649,24017
2025-01-22,Parker Edwards,28577,32077
2025-01-23,Payton Ingram,25686,27697
2025-01-02,Quinn Foster,16027,21972
2025-01-02,Harper Ingram,17151,25616
2025-01-04,Reese Adams,14894,18031
2025-01-23,Shawn Edwards,24488,27544
2025-01-02,Drew Edwards,16557,17977
2025-01-26,Bailey Edwards,23736,28619
2025-01-15,Shawn Edwards,15880,24270
